country,year,turnoutreg,closeness,closeness_per,weekday,streltype,compulsory,populationNohl,concurrent,v2x_polyarchy,democracy,gini
Albania,1996,89.08,578816,35.1,Sunday,L,0,3283000,0,0.381,FALSE,0.4676298
Albania,2017,46.75,308337,19.490000000000002,Sunday,L,0,NA,0,0.52,TRUE,0.49776044
Albania,2005,48,98643,7.300000000000001,Sunday,L,0,3135000,0,0.505,TRUE,0.47448188
Algeria,1988,89.1,9836830,86.52000000000001,Thursday,P,0,23758000,0,0.206,FALSE,0.6086116
Algeria,2007,35.6,33424,0.6000000000000014,Thursday,L,0,NA,0,0.333,FALSE,0.50304
Algeria,2004,58.1,7997772,78.6,Thursday,P,0,NA,0,0.336,FALSE,0.5143018
Algeria,1995,74.9,4116644,35.4,Thursday,P,0,27600000,0,0.186,FALSE,0.54793733
Algeria,1991,59,1647275,23.9,Thursday,L,0,25680000,0,0.351,FALSE,0.5826323
Algeria,1999,60.9,6179451,61.2,Thursday,P,0,NA,0,0.327,FALSE,0.53301585
Algeria,1997,65.6,1980280,18.900000000000002,Thursday,L,0,29830370,0,0.32,FALSE,0.5404821
Algeria,2009,74.5,12307447,86,Thursday,P,0,NA,0,0.328,FALSE,0.4955184
Angola,2008,87.4,4595853,71.19999999999999,Saturday,L,0,NA,0,0.189,FALSE,0.60936785
Argentina,2007,76.21,3568118,17.25,Sunday,L,1,NA,1,0.795,TRUE,0.5875013
Argentina,2017,77.61,465571,1.910000000000002,Sunday,L,1,NA,0,0.746,TRUE,0.5813541
Argentina,2011,79.25,7497108,36.44,Sunday,L,1,NA,1,0.778,TRUE,0.5548189
Argentina,2003,78.2,2821731,13.599999999999998,Sunday,P,1,38740807,0,0.813,TRUE,0.6189456
Argentina,2009,73.29,139839,0.72999999999999865,Sunday,L,1,NA,0,0.777,TRUE,0.56897336
Argentina,2015,81.07,737359,3,Sunday,P,1,NA,1,0.777,TRUE,0.5628818
Argentina,2007,76.2,4248651,22.25,Sunday,P,1,NA,1,0.795,TRUE,0.5875013
Argentina,2015,80.77,678774,2.799999999999997,Sunday,P,1,NA,0,0.777,TRUE,0.5628818
Argentina,2005,73.33,3743381,21.75,Sunday,L,1,NA,0,0.806,TRUE,0.5925512
Argentina,2001,75.6,2821731,19.099999999999998,Sunday,L,1,37500000,0,0.84,TRUE,0.6608881
Argentina,2013,77.64,2936100,12.98,Sunday,L,1,NA,0,0.788,TRUE,0.5417377
Argentina,2015,80.82,4701304,20.17,Sunday,L,1,NA,1,0.777,TRUE,0.5628818
Armenia,1999,51.7,317972,29.4,Sunday,L,0,3798200,0,0.42,FALSE,0.5529118
Armenia,2017,60.86,342282,21.8,Sunday,L,0,NA,0,0.387,FALSE,0.5389757
Armenia,2007,59.9,253775,18.779999999999994,Saturday,L,0,NA,0,0.354,FALSE,0.49655297
Armenia,2013,60.09,321488,21.89,Monday,P,0,NA,0,0.355,FALSE,0.4893882
Armenia,1996,60.3,130759,10.299999999999997,Sunday,P,0,3780700,0,0.421,FALSE,0.58842224
Armenia,2008,72.14,511147,31.32,Tuesday,P,0,NA,0,0.32,FALSE,0.4811393
Armenia,2003,51,569394,53.839999999999996,Sunday,L,0,NA,0,0.356,FALSE,0.5267976
Armenia,2012,61.83,209767,13.900000000000002,Sunday,L,0,NA,0,0.356,FALSE,0.48179293
Armenia,2003,67.04,540580,34.7,Wednesday,P,0,NA,0,0.356,FALSE,0.5267976
Armenia,2003,63.21,310917,21.259999999999998,Wednesday,P,0,NA,0,0.356,FALSE,0.5267976
Armenia,2018,48.62,781063,62.10000000000001,Sunday,L,0,NA,0,0.536,TRUE,0.53986424
Australia,2007,94.8,159189,1.2999999999999972,Saturday,L,1,NA,0,0.876,TRUE,0.4812281
Australia,2016,91,991349,7.299999999999997,Saturday,L,1,NA,0,0.883,TRUE,0.48339278
Australia,2001,95.4,593538,4.900000000000006,Saturday,L,1,NA,0,0.884,TRUE,0.46136788
Australia,1983,94.6,510111,5.899999999999999,Saturday,L,1,15393500,0,0.876,TRUE,0.42179856
Australia,1975,95.4,789074,10.200000000000003,Saturday,L,1,13849300,0,0.867,TRUE,0.41793942
Australia,1974,95.4,264565,3.5999999999999943,Saturday,L,1,13709500,0,0.868,TRUE,0.42311
Australia,1993,95.8,69568,0.6000000000000014,Saturday,L,1,17667100,0,0.888,TRUE,0.4519824
Australia,1990,95.3,397989,4.100000000000001,Saturday,L,1,17085400,0,0.89,TRUE,0.43867373
Australia,2004,94.3,1062471,9.100000000000001,Saturday,L,1,NA,0,0.875,TRUE,0.4747608
Australia,1984,94.2,220088,2.5,Saturday,L,1,15579400,0,0.884,TRUE,0.42413527
Australia,1977,95.1,670289,8.5,Saturday,L,1,14192200,0,0.863,TRUE,0.41468245
Australia,1963,95.7,31137,0.5,Saturday,L,1,11022811,0,0.837,TRUE,0.46207562
Australia,1969,95,221573,3.700000000000003,Saturday,L,1,12388192,0,0.844,TRUE,0.44023964
Australia,1949,96,197055,4.299999999999997,Saturday,L,1,8050882,0,0.815,TRUE,0.49602222
Australia,1946,94,263397,6,Saturday,L,1,7517081,0,0.812,TRUE,0.48458228
Australia,1951,96,123672,2.6999999999999957,Saturday,L,1,8528129,0,0.794,TRUE,0.43311238
Australia,2010,93.2,697268,5.600000000000001,Saturday,L,1,NA,0,0.895,TRUE,0.4869819
Australia,1958,95.5,186610,3.8000000000000043,Saturday,L,1,9951618,0,0.83,TRUE,0.46772474000000003
Australia,1987,93.8,35475,0.30000000000000426,Saturday,L,1,16263300,0,0.883,TRUE,0.449285
Australia,1972,95.4,535638,8.100000000000001,Saturday,L,1,13283900,0,0.862,TRUE,0.43788695
Australia,1954,96.1,135119,2.8999999999999986,Saturday,L,1,9090395,0,0.819,TRUE,0.42483565
Australia,1980,94.4,103984,1.2999999999999972,Saturday,L,1,14695400,0,0.871,TRUE,0.42094216
Australia,1955,95,132101,3,Saturday,L,1,9311825,0,0.821,TRUE,0.42274076
Australia,1996,95.8,924396,8.400000000000006,Saturday,L,1,18310700,0,0.888,TRUE,0.45645446
Australia,1966,95.1,571056,10,Saturday,L,1,11710387,0,0.836,TRUE,0.44550252
Australia,2013,93.3,1571527,12.200000000000003,Saturday,L,1,NA,0,0.877,TRUE,0.4882326
Australia,1961,95.3,304716,5.799999999999997,Saturday,L,1,10603931,0,0.829,TRUE,0.4546369
Australia,1998,95,65497,0.6000000000000014,Saturday,L,1,18730359,0,0.881,TRUE,0.46216103
Austria,2010,53.57,2026450,64.09,Sunday,P,0,NA,0,0.867,TRUE,0.45210794
Austria,2008,78.8,160550,3.3000000000000007,Sunday,L,0,8347341,0,0.872,TRUE,0.45639881
Austria,2013,74.9,132729,2.8000000000000007,Sunday,L,0,NA,0,0.869,TRUE,0.42535633
Austria,2006,78.5,47493,1,Sunday,L,0,8281948,0,0.863,TRUE,0.47433436
Austria,2004,71.6,197364,4.799999999999997,Sunday,P,0,8174733,0,0.859,TRUE,0.44233763
Austria,2016,68.5,586753,14,Sunday,P,0,NA,0,0.841,TRUE,0.4431692
Austria,2016,74.2,348231,7.599999999999994,Sunday,P,0,NA,0,0.841,TRUE,0.4431692
Azerbaijan,1995,86.1,1882343,53,Sunday,L,0,7726200,0,0.251,FALSE,0.5556126
Azerbaijan,2003,54,2066402,67.8,Wednesday,P,0,NA,0,0.236,FALSE,0.47461006
Bangladesh,1991,55.4,247683,0.6999999999999993,Wednesday,L,0,111455000,0,0.492,FALSE,0.4925115
Bangladesh,1988,52.5,14416793,55.800000000000004,Thursday,L,0,106645000,0,0.314,FALSE,0.5104734
Belarus,2006,92.9,5095763,81,Sunday,P,0,NA,0,0.227,FALSE,0.4475794
Belarus,2016,74.8,2603507,50.6,Sunday,L,0,NA,0,0.258,FALSE,0.42544457
Belarus,2015,87.2,4716253,77.2,Sunday,P,0,NA,0,0.251,FALSE,0.42278478
Belarus,2001,83.9,3701419,61.400000000000006,Sunday,P,0,9990000,0,0.247,FALSE,0.47221053
Belarus,2010,90.6,4713632,73.9,Sunday,P,0,NA,0,0.229,FALSE,0.45383504
Belgium,2003,91.6,29473,0.5,Sunday,L,1,10396421,0,0.884,TRUE,0.44499046
Belgium,1991,92.7,56280,0.8999999999999986,Sunday,L,1,10021997,0,0.871,TRUE,0.44180492
Belgium,2014,89.4,579339,8.600000000000001,Sunday,L,1,NA,0,0.896,TRUE,0.4380374
Belgium,2010,89.2,241074,3.6999999999999993,Sunday,L,1,NA,0,0.895,TRUE,0.4396203
Belgium,1995,91.1,28771,0.5999999999999979,Sunday,L,1,10143047,0,0.879,TRUE,0.44443268
Belgium,1999,90.6,278307,4.399999999999999,Sunday,L,1,10239085,0,0.88,TRUE,0.4533958
Belgium,2007,91.1,399877,6,Sunday,L,1,NA,0,0.885,TRUE,0.4535148
Belgium,1985,93.6,56810,0.8999999999999986,Sunday,L,1,9858895,0,0.858,TRUE,0.42944416
Benin,2003,56,241484,12.799999999999997,Sunday,L,0,NA,0,0.617,TRUE,0.59087086
Benin,2011,84.8,520154,17.5,Sunday,P,0,NA,0,0.619,TRUE,0.6253886
Botswana,2009,76.71,170590,31.4,Friday,L,0,NA,0,0.722,TRUE,0.7582452
Brazil,2018,79.8,1331267,1.3999999999999986,Sunday,L,1,NA,1,0.742,TRUE,0.6808988
Brazil,2010,81.9,3751947,3.8999999999999986,Sunday,L,1,NA,1,0.872,TRUE,0.6810596
Brazil,2014,78.9,3459963,3.200000000000003,Sunday,P,1,NA,0,0.876,TRUE,0.6731757
Brazil,2014,80.6,8370457,8,Sunday,P,1,NA,1,0.876,TRUE,0.6731757
Brazil,2010,81.9,14519151,14.299999999999997,Sunday,P,1,NA,1,0.872,TRUE,0.6810596
Brazil,2006,83.25,6693996,6.969999999999999,Sunday,P,1,NA,1,0.876,TRUE,0.69234246
Brazil,2010,78.5,12041141,12.200000000000003,Sunday,P,1,NA,0,0.872,TRUE,0.6810596
Brazil,2002,82.3,19735031,23,Sunday,P,1,174632960,1,0.859,TRUE,0.6983636
Brazil,2018,79.67,17934985,16.75,Sunday,P,1,NA,1,0.742,TRUE,0.6808988
Brazil,2018,78.7,10756941,10.200000000000003,Sunday,P,1,NA,0,0.742,TRUE,0.6808988
Brazil,2002,79.5,19416731,22.599999999999994,Sunday,P,1,174632960,0,0.859,TRUE,0.6983636
Brazil,2006,81.01,20751864,21.659999999999997,Sunday,P,1,NA,1,0.876,TRUE,0.69234246
Brazil,2006,83.3,409342,0.40000000000000036,Sunday,L,1,NA,1,0.876,TRUE,0.69234246
Brazil,2002,52.3,831864,0.9000000000000004,Sunday,L,1,174632960,1,0.859,TRUE,0.6983636
Bulgaria,1992,75.9,295001,5.599999999999994,Sunday,P,0,8487317,0,0.699,TRUE,0.43796283
Bulgaria,2001,67.03,1122175,24.560000000000002,Sunday,L,0,7928901,0,0.695,TRUE,0.47230393
Bulgaria,2001,55.09,319332,8.399999999999999,Sunday,P,0,7928901,0,0.695,TRUE,0.47230393
Bulgaria,2017,53.85,191802,5.600000000000001,Sunday,L,1,NA,0,0.631,TRUE,0.54860836
Bulgaria,2016,50.86,806547,23,Sunday,P,1,NA,0,0.674,TRUE,0.5294342
Bulgaria,2011,52.29,375080,11,Sunday,P,0,NA,0,0.682,TRUE,0.4723393
Bulgaria,1997,62.93,1284406,30.189999999999998,Saturday,L,0,8200000,0,0.713,TRUE,0.49237436
Bulgaria,1991,83.87,67519,1.2999999999999972,Sunday,L,0,8710000,0,0.631,TRUE,0.3996267
Bulgaria,2011,48.25,166943,5.200000000000003,Sunday,P,0,NA,0,0.682,TRUE,0.4723393
Bulgaria,2006,44.11,1182944,42.56,Sunday,P,0,NA,0,0.708,TRUE,0.48512822
Bulgaria,2001,41.8,40985,1,Sunday,P,0,7928901,0,0.695,TRUE,0.47230393
Bulgaria,1994,75.3,1030747,19.299999999999997,Sunday,L,0,8400000,0,0.698,TRUE,0.49742582
Bulgaria,1992,75.4,715070,14,Sunday,P,0,8487317,0,0.699,TRUE,0.43796283
Bulgaria,1990,90.78,669968,10.939999999999998,Sunday,L,0,8710000,0,0.577,TRUE,0.35996926
Bulgaria,2009,60.64,930494,22.000000000000004,Sunday,L,0,NA,0,0.7,TRUE,0.47017875
Bulgaria,2014,51.1,566964,17.400000000000002,Sunday,L,0,NA,0,0.681,TRUE,0.4951998
Bulgaria,2016,57,133119,3.5,Sunday,P,1,NA,0,0.674,TRUE,0.5294342
Bulgaria,1996,61.8,815275,19.459999999999994,Sunday,P,0,8300000,0,0.7,TRUE,0.49655914
Bulgaria,1996,63.3,731621,17,Sunday,P,0,8300000,0,0.7,TRUE,0.49655914
Bulgaria,2006,42.62,1401101,51.900000000000006,Sunday,P,0,NA,0,0.708,TRUE,0.48512822
Bulgaria,2013,52.46,139064,3.8999999999999986,Sunday,L,0,NA,0,0.662,TRUE,0.4735532
Burkina Faso,1998,56.1,1845355,80.9,Sunday,P,0,11300000,0,0.485,FALSE,0.6963178
Cambodia,2013,68.4,289793,4.399999999999999,Sunday,L,0,NA,0,0.293,FALSE,0.5910045
Canada,1953,67.9,1001728,17.799999999999997,Monday,L,0,14003704,0,0.75,TRUE,0.4863312
Canada,1963,80.3,702176,8.900000000000006,Monday,L,0,18238247,0,0.816,TRUE,0.48610446
Canada,1993,69.6,3088707,22.599999999999998,Monday,L,0,27296859,0,0.825,TRUE,0.4940862
Canada,2000,61.2,1975102,15.299999999999997,Monday,L,0,28846761,0,0.836,TRUE,0.52538216
Canada,1972,76.7,334728,3.5,Monday,L,0,21568311,0,0.825,TRUE,0.48829287
Canada,1974,71,733441,7.800000000000004,Monday,L,0,21568311,0,0.82,TRUE,0.4897803
Canada,1980,69.3,1300920,11.799999999999997,Monday,L,0,22992604,0,0.825,TRUE,0.5025491
Canada,1979,75.8,482760,4.200000000000003,Tuesday,L,0,22992604,0,0.824,TRUE,0.4949074
Canada,1949,74.8,1161436,19.8,Monday,L,0,11823649,0,0.721,TRUE,0.49241185
Canada,1958,80.6,1460724,20,Monday,L,0,16073970,0,0.756,TRUE,0.49373794
Canada,1945,76.3,710583,13.5,Monday,L,0,11494627,0,0.654,TRUE,0.48550695
Canada,2015,68.3,1329304,7.59,Monday,L,0,33476688,0,0.813,TRUE,0.5294287
Canada,1965,75.9,599606,7.800000000000004,Monday,L,0,18238247,0,0.816,TRUE,0.4851517
Canada,1957,75,129647,2,Monday,L,0,16073970,0,0.755,TRUE,0.4891774
Canada,2004,60.9,962722,7.100000000000001,Monday,L,0,30007094,0,0.824,TRUE,0.52289890000000006
Canada,2008,58.8,1575884,11.389999999999997,Tuesday,L,0,31612897,0,0.829,TRUE,0.5274539
Canada,2006,64.7,894656,6.099999999999998,Monday,L,0,30007094,0,0.831,TRUE,0.5332416
Canada,1984,75.3,2762211,22,Tuesday,L,0,24343181,0,0.833,TRUE,0.4927321
Canada,2011,61.1,1323927,9,Monday,L,0,31612897,0,0.814,TRUE,0.5246289
Canada,1962,80.1,3748,0.09999999999999432,Monday,L,0,18238247,0,0.811,TRUE,0.4891457
Canada,1968,75.7,1142065,14.100000000000001,Tuesday,L,0,20014880,0,0.813,TRUE,0.4856083
Canada,1988,75.3,1462491,11.100000000000001,Monday,L,0,25309331,0,0.831,TRUE,0.4807544
Canada,1997,67,2481307,19.1,Monday,L,0,27296859,0,0.836,TRUE,0.5101734
Cape Verde,2001,58.95,12,0,Sunday,P,0,NA,0,0.764,TRUE,0.7003399
Cape Verde,2001,54.53,12274,8.950000000000003,Sunday,L,0,NA,0,0.764,TRUE,0.7003399
Cape Verde,2001,50.6,917,1,Sunday,P,0,NA,0,0.764,TRUE,0.7003399
Chad,2011,76,649790,23.400000000000002,Sunday,L,0,NA,0,0.284,FALSE,0.60938305
Chad,2011,64.2,2333631,82.7,Monday,P,0,NA,0,0.284,FALSE,0.60938305
Chile,2013,49.35,1427358,22,Sunday,P,0,NA,1,0.895,TRUE,0.7485991
Chile,2013,49.35,212339,3.349999999999998,Sunday,L,0,NA,1,0.895,TRUE,0.7485991
Chile,2009,87.66,346608,5.240000000000002,Sunday,L,1,NA,1,0.889,TRUE,0.73810893
Chile,2013,41.97,1358225,24.370000000000005,Sunday,P,0,NA,0,0.895,TRUE,0.7485991
Chile,2017,49,636677,9.200000000000003,Sunday,P,0,NA,0,0.891,TRUE,0.73230875
Chile,2001,87.1,384999,6.300000000000001,Sunday,L,1,15401952,0,0.88,TRUE,0.7225859
Chile,2009,87.67,1009103,14.46,Sunday,P,1,NA,1,0.889,TRUE,0.73810893
Chile,2006,87.1,485244,7,Sunday,P,1,NA,0,0.892,TRUE,0.73925054
Chile,2017,46.5,109732,1.8299999999999983,Sunday,L,0,NA,1,0.891,TRUE,0.73230875
Chile,2005,87.67,105400,1.5999999999999979,Sunday,L,1,NA,1,0.88,TRUE,0.73118097
Chile,2005,84,1416073,21,Sunday,P,1,15116435,1,0.88,TRUE,0.73118097
Chile,2017,46.7,920500,13.940000000000001,Sunday,P,0,NA,1,0.891,TRUE,0.73230875
Chile,2010,86.94,223392,3.219999999999999,Sunday,P,1,16601707,0,0.89,TRUE,0.74996984
Colombia,2018,53,2338891,13,Sunday,P,0,NA,0,0.672,TRUE,0.6604696
Colombia,2018,53.4,2718439,14,Sunday,P,0,NA,0,0.672,TRUE,0.6604696
Colombia,2018,48.97,89043,0.5999999999999979,Sunday,L,0,NA,0,0.672,TRUE,0.6604696
Colombia,2014,43.6,275693,1.92,Sunday,L,0,NA,0,0.671,TRUE,0.66392636
Colombia,2010,49.27,3667821,25.16,Sunday,P,0,NA,0,0.617,TRUE,0.68098015
Colombia,2014,40.09,458211,3.5600000000000023,Sunday,P,0,NA,0,0.671,TRUE,0.66392636
Colombia,2002,43.4,1657109,18.3,Sunday,L,0,43776000,0,0.539,TRUE,0.70580953
Colombia,2002,46.5,2347876,21.6,Sunday,P,0,43776000,0,0.539,TRUE,0.70580953
Colombia,2014,47.97,922341,6,Sunday,P,0,NA,0,0.671,TRUE,0.66392636
Colombia,2006,45.1,4784678,40.35,Sunday,P,0,NA,0,0.563,TRUE,0.68446803
Colombia,2010,44.32,5440968,41.66,Sunday,P,0,NA,0,0.617,TRUE,0.68098015
Colombia,2010,43.8,428975,4.5,Sunday,L,0,NA,0,0.617,TRUE,0.68098015
Colombia,2006,40.5,193051,2.1000000000000014,Sunday,L,0,NA,0,0.563,TRUE,0.68446803
Costa Rica,2018,66.2,28552,1.3000000000000007,Sunday,L,1,NA,1,0.894,TRUE,0.6714146
Costa Rica,2014,68.38,45562,2.1999999999999993,Sunday,L,1,NA,1,0.908,TRUE,0.6693534
Costa Rica,2018,66.4,462520,21.200000000000003,Sunday,P,1,NA,0,0.894,TRUE,0.6714146
Costa Rica,2018,65.7,72375,3,Sunday,P,1,NA,1,0.894,TRUE,0.6714146
Costa Rica,2014,68.2,19232,1,Sunday,P,1,NA,1,0.908,TRUE,0.6693534
Costa Rica,2014,56.5,955721,55.599999999999994,Sunday,P,1,NA,0,0.908,TRUE,0.6693534
Cote d'Ivoire,1995,56.2,1761485,92,Sunday,P,0,14791257,0,0.263,FALSE,0.57974035
Cote d'Ivoire,2015,52.9,2327449,74.4,Sunday,P,0,NA,0,0.477,FALSE,0.601207
Croatia,2005,51,637180,28,Sunday,P,0,4551000,0,0.77,TRUE,0.46381816
Croatia,2011,56.5,395403,46.800000000000004,Sunday,L,0,NA,0,0.854,TRUE,0.46920025
Croatia,2015,59.1,32435,1.4000000000000057,Sunday,P,0,NA,0,0.814,TRUE,0.46960104
Croatia,2014,47.1,22299,2,Sunday,P,0,NA,0,0.828,TRUE,0.4705878
Croatia,2007,59.6,131053,5.289999999999999,Sunday,L,0,NA,0,0.782,TRUE,0.47380573
Croatia,2000,60.9,345649,13.799999999999997,Monday,P,0,4460000,0,0.77,TRUE,0.45839778
Croatia,2005,51.04,702759,31.800000000000004,Sunday,P,0,4551000,0,0.77,TRUE,0.46381816
Croatia,2015,63.1,134127,5.699999999999996,Sunday,L,0,NA,0,0.814,TRUE,0.46960104
Croatia,2016,54.6,58302,3.1000000000000014,Sunday,L,0,NA,0,0.766,TRUE,0.46096304
Croatia,2000,76.5,456872,16.4,Monday,L,0,4460000,0,0.77,TRUE,0.45839778
Croatia,2000,63,358834,13,Monday,P,0,4460000,0,0.77,TRUE,0.45839778
Croatia,2003,66.8,239910,10.590000000000003,Sunday,L,0,4428000,0,0.77,TRUE,0.44136488
Croatia,2010,50.1,456163,20.599999999999994,Sunday,P,0,NA,0,0.844,TRUE,0.46026137
Cyprus,2008,90.84,30409,6.799999999999997,Sunday,P,1,NA,0,0.832,TRUE,0.46617338
Cyprus,2016,66.7,17621,5,Sunday,L,1,NA,0,0.846,TRUE,0.48338157
Cyprus,1996,92.94,5422,1.5,Sunday,L,1,656000,0,0.776,TRUE,0.47850457
Cyprus,2006,89,3502,0.8000000000000007,Sunday,L,1,784000,0,0.832,TRUE,0.44370973
Cyprus,2013,83.1,81836,19,Sunday,P,1,NA,0,0.845,TRUE,0.5311679
Cyprus,2013,81.6,61698,15,Sunday,P,1,NA,0,0.845,TRUE,0.5311679
Cyprus,2008,89.6,980,1,Sunday,P,1,NA,0,0.832,TRUE,0.46617338
Cyprus,2011,78.7,6511,1.6099999999999994,Sunday,L,1,NA,0,0.842,TRUE,0.49410275
Czech Republic,2006,64.42,163648,3.0600000000000023,Saturday,L,0,10259017,0,0.904,TRUE,0.3939476
Czech Republic,2018,61.92,615946,11.969999999999999,Saturday,P,0,NA,0,0.823,TRUE,0.38028407
Czech Republic,2013,59.1,476234,9.599999999999994,Saturday,P,0,NA,1,0.876,TRUE,0.37678963
Czech Republic,2013,61.31,41653,0.8100000000000023,Saturday,P,0,NA,0,0.876,TRUE,0.37678963
Czech Republic,1996,76.29,192310,3.16,Saturday,L,0,10315353,0,0.897,TRUE,0.38962883
Czech Republic,2017,60.8,953720,18.8,Saturday,L,0,NA,0,0.843,TRUE,0.38599017
Czech Republic,2013,59.5,89589,1.8000000000000007,Saturday,L,0,NA,1,0.876,TRUE,0.37678963
Czech Republic,2010,62.6,97475,1.870000000000001,Saturday,L,0,NA,0,0.889,TRUE,0.38794842
Czech Republic,2018,66.6,152184,2.799999999999997,Saturday,P,0,NA,0,0.823,TRUE,0.38028407
Czechoslovakia,1992,84.7,1164478,12.2,Saturday,L,0,15583197,0,0.888,TRUE,0.34684134
Denmark,2005,84.54,107287,3.1900000000000013,Tuesday,L,0,5411000,0,0.919,TRUE,0.40392575
Denmark,2011,87.74,68110,1.9200000000000017,Thursday,L,0,NA,0,0.922,TRUE,0.42088237
Denmark,2001,87.1,74535,2.120000000000001,Tuesday,L,0,5368000,0,0.907,TRUE,0.3966152
Denmark,2015,85.9,56558,1.6000000000000014,Thursday,L,0,NA,0,0.922,TRUE,0.43601495
Denmark,2007,86.59,27435,0.7900000000000027,Tuesday,L,0,5471000,0,0.92,TRUE,0.40198
Denmark,1990,85.9,693828,21,Wednesday,L,0,5135409,0,0.907,TRUE,0.38037896
Denmark,1981,83.3,575248,18.4,Tuesday,L,0,5119155,0,0.908,TRUE,0.37181488
Denmark,1998,85.95,405726,11.919999999999998,Wednesday,L,0,5294860,0,0.907,TRUE,0.39512664
Denmark,1988,85.7,350634,10.5,Tuesday,L,0,5129715,0,0.907,TRUE,0.3764754
Denmark,1984,88.4,274337,8.200000000000003,Tuesday,L,0,5112130,0,0.909,TRUE,0.38225314
Denmark,1994,84.25,374872,11.3,Wednesday,L,0,5215718,0,0.908,TRUE,0.38471726
Denmark,1987,86.7,285020,8.5,Tuesday,L,0,5130260,0,0.908,TRUE,0.37944716
Djibouti,2013,66.6,31119,25.9,Friday,L,0,NA,0,0.247,FALSE,0.62172806
Dominican Republic,2016,69.18937895079928,1227721,26.799999999999997,Sunday,P,0,NA,1,0.556,TRUE,0.67282635
Dominican Republic,2016,70.33,917224,21.36,Sunday,L,0,NA,1,0.556,TRUE,0.67282635
Ecuador,2009,75.3,1636069,23.8,Sunday,P,1,NA,1,0.621,TRUE,0.62862855
Ecuador,2017,81.65,1063940,11,Sunday,P,1,NA,1,0.559,TRUE,0.5871547
Ecuador,2017,81.7,19502084,19,Sunday,L,1,NA,1,0.559,TRUE,0.5871547
Ecuador,2002,71.2,490389,9.599999999999994,Sunday,P,1,12090000,0,0.699,TRUE,0.6826693
Ecuador,2006,84.2,828217,13.400000000000006,Sunday,P,1,NA,0,0.703,TRUE,0.6352759
Ecuador,2002,65,148509,4,Sunday,P,1,12090000,1,0.699,TRUE,0.6826693
Ecuador,2017,82.98,228629,2.319999999999993,Sunday,P,1,NA,0,0.559,TRUE,0.5871547
Ecuador,2013,81.07,2967380,34.49,Sunday,P,1,NA,1,0.545,TRUE,0.611602
